,application_number,orig_funding_request,cmtd_funding_request,consulting_firms_name,consulting_firms_email,applicant_type,applicant_city,applicant_state,cmtd_discount,service_type,function,funding_gap
0,170052386,8924,8924,Csm Consulting Inc.,kfriends@csmcentral.com,School District,TEMPLETON,CA,40,Managed Internal Broadband Services,Existing Equipment,0
1,170061576,875,875,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
2,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
3,170065593,31076,31076,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
4,170061576,1605,1605,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Cabling,0
5,170047995,50319,50319,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85,Internal Connections,Ups/Battery Backup,0
6,170065593,4468,4468,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Firewall Service And Components,0
7,170051028,88200,88200,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
8,170074618,542,422,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Basic Maintenance Of Internal Connections,Wap,120
9,170081465,7624,7624,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,LONG BEACH,CA,80,Internal Connections,Wap,0
10,170061576,12375,12375,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
11,170064796,46299,46299,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
12,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Cabling,0
13,170069647,77220,42120,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,90,Internal Connections,Cabling,35100
14,170061576,28876,28876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
15,170060899,7154,7154,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LANCASTER,CA,85,Basic Maintenance Of Internal Connections,Racks,0
16,170050828,66448,62253,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,CHULA VISTA,CA,80,Internal Connections,Wap,4195
